start_gesture_time,end_gesture_time,gesture_detected,confidence_score,send_time,inference_time,fps,model_name
20:39:11.495,20:39:11.551,Kiri,0.99863,20:39:11.551,0.05523,12.83,gesture_recognition_model_var2.h5
20:39:11.574,20:39:11.627,Kiri,0.99870,20:39:11.627,0.05321,12.78,gesture_recognition_model_var2.h5
20:39:11.651,20:39:11.707,Kiri,0.99843,20:39:11.707,0.05546,13.03,gesture_recognition_model_var2.h5
20:39:11.743,20:39:11.797,Kiri,0.99646,20:39:11.797,0.05458,10.84,gesture_recognition_model_var2.h5
20:39:11.820,20:39:11.873,Kiri,0.94223,20:39:11.873,0.05381,12.97,gesture_recognition_model_var2.h5
20:39:11.899,20:39:11.952,Maju,0.95929,20:39:11.953,0.05282,12.76,gesture_recognition_model_var2.h5
20:39:11.973,20:39:12.035,Maju,0.99813,20:39:12.035,0.06150,13.25,gesture_recognition_model_var2.h5
20:39:12.068,20:39:12.121,Maju,0.99894,20:39:12.121,0.05272,10.70,gesture_recognition_model_var2.h5
20:39:12.143,20:39:12.197,Maju,0.99893,20:39:12.197,0.05362,13.09,gesture_recognition_model_var2.h5
20:39:12.220,20:39:12.273,Maju,0.99886,20:39:12.273,0.05305,13.06,gesture_recognition_model_var2.h5
20:39:12.297,20:39:12.352,Maju,0.99879,20:39:12.352,0.05462,12.96,gesture_recognition_model_var2.h5
20:39:12.375,20:39:12.429,Maju,0.99874,20:39:12.429,0.05417,12.86,gesture_recognition_model_var2.h5
20:39:12.451,20:39:12.505,Maju,0.99859,20:39:12.505,0.05454,13.05,gesture_recognition_model_var2.h5
20:39:12.529,20:39:12.582,Maju,0.99829,20:39:12.582,0.05229,12.86,gesture_recognition_model_var2.h5
20:39:12.606,20:39:12.660,Maju,0.99690,20:39:12.661,0.05427,13.02,gesture_recognition_model_var2.h5
20:39:12.684,20:39:12.737,Maju,0.98546,20:39:12.737,0.05346,12.92,gesture_recognition_model_var2.h5
20:39:12.761,20:39:12.813,Maju,0.78353,20:39:12.813,0.05220,12.95,gesture_recognition_model_var2.h5
20:39:12.837,20:39:12.889,Stop,0.93696,20:39:12.889,0.05169,13.09,gesture_recognition_model_var2.h5
20:39:12.916,20:39:12.967,Stop,0.99780,20:39:12.967,0.05144,12.64,gesture_recognition_model_var2.h5
20:39:12.994,20:39:13.049,Stop,0.99950,20:39:13.049,0.05540,12.81,gesture_recognition_model_var2.h5
20:39:13.071,20:39:13.126,Stop,0.99973,20:39:13.126,0.05426,12.91,gesture_recognition_model_var2.h5
20:39:13.149,20:39:13.206,Stop,0.99980,20:39:13.206,0.05683,12.90,gesture_recognition_model_var2.h5
20:39:13.242,20:39:13.292,Stop,0.99981,20:39:13.293,0.04988,10.82,gesture_recognition_model_var2.h5
20:39:13.318,20:39:13.371,Stop,0.99981,20:39:13.371,0.05262,13.08,gesture_recognition_model_var2.h5
20:39:13.395,20:39:13.446,Stop,0.99981,20:39:13.446,0.05121,12.97,gesture_recognition_model_var2.h5
20:39:13.474,20:39:13.526,Stop,0.99981,20:39:13.526,0.05253,12.84,gesture_recognition_model_var2.h5
20:39:13.551,20:39:13.605,Stop,0.99981,20:39:13.605,0.05410,12.91,gesture_recognition_model_var2.h5
20:39:13.629,20:39:13.682,Stop,0.99981,20:39:13.682,0.05324,12.82,gesture_recognition_model_var2.h5
20:39:13.705,20:39:13.758,Stop,0.99982,20:39:13.758,0.05302,12.99,gesture_recognition_model_var2.h5
20:39:13.781,20:39:13.836,Stop,0.99982,20:39:13.836,0.05478,13.08,gesture_recognition_model_var2.h5
20:39:13.859,20:39:13.913,Stop,0.99983,20:39:13.913,0.05341,12.93,gesture_recognition_model_var2.h5
20:39:13.937,20:39:13.988,Stop,0.99983,20:39:13.988,0.05079,12.86,gesture_recognition_model_var2.h5
20:39:14.014,20:39:14.067,Stop,0.99983,20:39:14.067,0.05304,12.93,gesture_recognition_model_var2.h5
20:39:14.091,20:39:14.143,Stop,0.99983,20:39:14.143,0.05208,13.03,gesture_recognition_model_var2.h5
20:39:14.169,20:39:14.225,Stop,0.99983,20:39:14.225,0.05622,12.82,gesture_recognition_model_var2.h5
