start_gesture_time,end_gesture_time,gesture_detected,send_time,move_start_time,inference_time,delay,fps
1746941530.054641,1746941530.108308,Stop,1746941530.108308,1746941530.309387,0.05367,0.201,13.05
1746941530.132802,1746941530.184620,Stop,1746941530.184620,1746941530.384620,0.05182,0.200,12.79
1746941530.209656,1746941530.264698,Stop,1746941530.264698,1746941530.464698,0.05504,0.200,13.03
1746941530.287611,1746941530.338812,Stop,1746941530.338812,1746941530.538812,0.05120,0.200,12.86
1746941530.363808,1746941530.415951,Stop,1746941530.415951,1746941530.615951,0.05214,0.200,13.10
1746941530.442110,1746941530.492152,Stop,1746941530.492152,1746941530.692152,0.05004,0.200,12.81
1746941530.518622,1746941530.570476,Stop,1746941530.570476,1746941530.770476,0.05185,0.200,13.01
1746941530.596023,1746941530.650350,Stop,1746941530.650350,1746941530.850350,0.05433,0.200,12.93
1746941530.672789,1746941530.728169,Stop,1746941530.728169,1746941530.928169,0.05538,0.200,12.93
1746941530.749753,1746941530.800627,Stop,1746941530.800627,1746941531.000627,0.05087,0.200,12.92
1746941530.828344,1746941530.879759,Stop,1746941530.879759,1746941531.079759,0.05141,0.200,12.86
1746941530.906461,1746941530.956736,Stop,1746941530.956736,1746941531.156736,0.05028,0.200,12.83
1746941530.983974,1746941531.036796,Stop,1746941531.036796,1746941531.236796,0.05282,0.200,12.99
1746941531.060139,1746941531.112309,Stop,1746941531.113319,1746941531.313319,0.05217,0.201,13.04
1746941531.137505,1746941531.189034,Stop,1746941531.189034,1746941531.389035,0.05153,0.200,12.84
1746941531.215050,1746941531.268464,Stop,1746941531.268464,1746941531.468464,0.05341,0.200,13.00
1746941531.293068,1746941531.343456,Stop,1746941531.343456,1746941531.543456,0.05039,0.200,12.81
1746941531.370698,1746941531.422647,Stop,1746941531.422647,1746941531.622647,0.05195,0.200,12.79
1746941531.448596,1746941531.500220,Stop,1746941531.500220,1746941531.700220,0.05162,0.200,12.82
1746941531.526713,1746941531.577268,Stop,1746941531.577268,1746941531.777268,0.05055,0.200,12.89
1746941531.603859,1746941531.654839,Stop,1746941531.654839,1746941531.854839,0.05098,0.200,13.12
1746941531.680312,1746941531.732731,Stop,1746941531.732731,1746941531.932731,0.05242,0.200,12.76
1746941531.758723,1746941531.811448,Stop,1746941531.811448,1746941532.011448,0.05273,0.200,13.00
1746941531.834934,1746941531.888358,Stop,1746941531.888358,1746941532.088358,0.05342,0.200,12.86
1746941531.912404,1746941531.964459,Stop,1746941531.964459,1746941532.164459,0.05205,0.200,13.00
1746941531.988374,1746941532.041342,Stop,1746941532.041342,1746941532.241343,0.05297,0.200,13.16
1746941532.065851,1746941532.117302,Stop,1746941532.117302,1746941532.317302,0.05145,0.200,12.83
1746941532.142920,1746941532.193244,Stop,1746941532.193244,1746941532.393244,0.05032,0.200,13.06
1746941532.219957,1746941532.271497,Stop,1746941532.271497,1746941532.471497,0.05154,0.200,12.89
1746941532.298179,1746941532.351654,Stop,1746941532.351654,1746941532.551654,0.05348,0.200,12.98
1746941532.375088,1746941532.427105,Stop,1746941532.427105,1746941532.627105,0.05202,0.200,12.97
1746941532.452113,1746941532.503588,Stop,1746941532.503588,1746941532.703588,0.05148,0.200,12.99
1746941532.529548,1746941532.581586,Stop,1746941532.581586,1746941532.781586,0.05204,0.200,12.99
1746941532.605197,1746941532.654688,Stop,1746941532.654688,1746941532.854688,0.04949,0.200,12.99
1746941532.681667,1746941532.733386,Stop,1746941532.733386,1746941532.933386,0.05172,0.200,13.22
1746941532.757649,1746941532.809382,Stop,1746941532.809382,1746941533.009382,0.05173,0.200,13.08
1746941532.836848,1746941532.888510,Stop,1746941532.888510,1746941533.088510,0.05166,0.200,12.71
1746941532.912987,1746941532.964701,Stop,1746941532.964701,1746941533.164701,0.05171,0.200,13.05
1746941532.990936,1746941533.045783,Stop,1746941533.045783,1746941533.245783,0.05485,0.200,12.84
1746941533.069163,1746941533.121761,Stop,1746941533.121761,1746941533.321761,0.05260,0.200,12.84
1746941533.147501,1746941533.201589,Stop,1746941533.201589,1746941533.401589,0.05409,0.200,12.80
1746941533.224983,1746941533.278241,Stop,1746941533.278241,1746941533.478241,0.05326,0.200,12.87
1746941533.303038,1746941533.355817,Stop,1746941533.355817,1746941533.555817,0.05278,0.200,12.84
1746941533.380928,1746941533.434049,Stop,1746941533.434049,1746941533.634049,0.05312,0.200,12.85
1746941533.457609,1746941533.510449,Stop,1746941533.510449,1746941533.710449,0.05284,0.200,13.03
1746941533.532996,1746941533.581858,Stop,1746941533.581858,1746941533.783213,0.04886,0.201,13.17
1746941533.610965,1746941533.663945,Stop,1746941533.663945,1746941533.863945,0.05298,0.200,12.94
1746941533.687665,1746941533.742381,Stop,1746941533.742381,1746941533.942381,0.05472,0.200,13.02
1746941533.765342,1746941533.820266,Maju,1746941533.820266,1746941534.020266,0.05492,0.200,12.94
1746941533.840683,1746941533.891125,Stop,1746941533.891125,1746941534.091125,0.05044,0.200,13.02
1746941533.918517,1746941533.969340,Stop,1746941533.969340,1746941534.169340,0.05082,0.200,12.92
1746941533.996645,1746941534.049598,Stop,1746941534.049598,1746941534.249598,0.05295,0.200,12.94
1746941534.072559,1746941534.123988,Stop,1746941534.123988,1746941534.323988,0.05143,0.200,13.03
1746941534.150965,1746941534.201867,Stop,1746941534.201867,1746941534.401867,0.05090,0.200,12.84
1746941534.227594,1746941534.277440,Stop,1746941534.277440,1746941534.477440,0.04985,0.200,13.05
1746941534.302950,1746941534.356064,Stop,1746941534.356064,1746941534.556064,0.05311,0.200,13.18
1746941534.382114,1746941534.437356,Stop,1746941534.437356,1746941534.637356,0.05524,0.200,12.73
1746941534.459325,1746941534.510376,Stop,1746941534.510376,1746941534.710376,0.05105,0.200,12.94
1746941534.535914,1746941534.586755,Stop,1746941534.586755,1746941534.786755,0.05084,0.200,13.05
1746941534.612384,1746941534.662688,Stop,1746941534.662688,1746941534.862688,0.05030,0.200,12.93
1746941534.690762,1746941534.742502,Stop,1746941534.742502,1746941534.942502,0.05174,0.200,12.96
1746941534.767692,1746941534.819875,Stop,1746941534.819875,1746941535.019875,0.05218,0.200,12.88
1746941534.845484,1746941534.895570,Stop,1746941534.895570,1746941535.095570,0.05009,0.200,12.92
1746941534.923299,1746941534.974589,Stop,1746941534.974589,1746941535.174589,0.05129,0.200,13.01
1746941534.999447,1746941535.050619,Stop,1746941535.050619,1746941535.250619,0.05117,0.200,12.97
1746941535.075161,1746941535.125386,Stop,1746941535.126422,1746941535.326422,0.05023,0.201,13.03
1746941535.152611,1746941535.203718,Stop,1746941535.203718,1746941535.403718,0.05111,0.200,13.01
1746941535.230860,1746941535.284171,Stop,1746941535.284171,1746941535.484171,0.05331,0.200,12.77
1746941535.307225,1746941535.359768,Stop,1746941535.359768,1746941535.559768,0.05254,0.200,13.20
1746941535.383705,1746941535.433366,Stop,1746941535.433366,1746941535.633366,0.04966,0.200,13.06
1746941535.461600,1746941535.514280,Stop,1746941535.514280,1746941535.714280,0.05268,0.200,12.77
1746941535.539324,1746941535.589718,Stop,1746941535.589718,1746941535.789718,0.05039,0.200,12.93
1746941535.616261,1746941535.668662,Stop,1746941535.669673,1746941535.869673,0.05240,0.201,13.01
1746941535.693407,1746941535.744027,Stop,1746941535.744027,1746941535.944027,0.05062,0.200,13.00
1746941535.770900,1746941535.823748,Stop,1746941535.823748,1746941536.023748,0.05285,0.200,12.85
1746941535.848680,1746941535.899502,Stop,1746941535.899502,1746941536.099502,0.05082,0.200,12.78
1746941535.924654,1746941535.974489,Stop,1746941535.974489,1746941536.174489,0.04983,0.200,13.16
1746941536.002587,1746941536.052881,Stop,1746941536.052881,1746941536.252882,0.05029,0.200,12.84
1746941536.080685,1746941536.132340,Stop,1746941536.132340,1746941536.332340,0.05165,0.200,12.93
1746941536.157332,1746941536.210345,Stop,1746941536.210345,1746941536.411355,0.05301,0.201,12.92
1746941536.236104,1746941536.290508,Stop,1746941536.290508,1746941536.490508,0.05440,0.200,12.78
1746941536.313010,1746941536.362338,Stop,1746941536.363353,1746941536.563353,0.04933,0.201,12.99
1746941536.389378,1746941536.438765,Stop,1746941536.439777,1746941536.639777,0.04939,0.201,13.18
1746941536.465209,1746941536.515361,Stop,1746941536.516382,1746941536.716382,0.05015,0.201,13.11
1746941536.542754,1746941536.596465,Stop,1746941536.596465,1746941536.796465,0.05371,0.200,12.86
1746941536.619438,1746941536.669316,Stop,1746941536.669316,1746941536.869316,0.04988,0.200,12.99
1746941536.697207,1746941536.749182,Stop,1746941536.749182,1746941536.949182,0.05198,0.200,12.97
1746941536.773580,1746941536.824923,Stop,1746941536.825947,1746941537.025947,0.05134,0.201,13.07
1746941536.851838,1746941536.903707,Stop,1746941536.903707,1746941537.103707,0.05187,0.200,12.76
1746941536.927667,1746941536.977513,Stop,1746941536.977513,1746941537.177513,0.04985,0.200,13.11
1746941537.003976,1746941537.054456,Stop,1746941537.055487,1746941537.255487,0.05048,0.201,13.02
1746941537.081499,1746941537.133503,Stop,1746941537.133503,1746941537.333503,0.05200,0.200,12.99
1746941537.158502,1746941537.211263,Stop,1746941537.211263,1746941537.411263,0.05276,0.200,12.99
1746941537.235277,1746941537.284871,Stop,1746941537.284871,1746941537.484871,0.04959,0.200,12.97
1746941537.312809,1746941537.364559,Stop,1746941537.364559,1746941537.564559,0.05175,0.200,12.98
1746941537.390205,1746941537.441171,Stop,1746941537.441171,1746941537.641171,0.05097,0.200,12.83
1746941537.468555,1746941537.520238,Stop,1746941537.520238,1746941537.720238,0.05168,0.200,12.92
1746941537.545033,1746941537.602344,Stop,1746941537.602344,1746941537.802344,0.05731,0.200,13.07
1746941537.638220,1746941537.690530,Stop,1746941537.690530,1746941537.890530,0.05231,0.200,10.66
1746941537.715707,1746941537.767123,Stop,1746941537.767123,1746941537.967123,0.05142,0.200,12.92
1746941537.792540,1746941537.843452,Stop,1746941537.843452,1746941538.043452,0.05091,0.200,12.92
1746941537.872533,1746941537.921668,Stop,1746941537.921668,1746941538.121668,0.04914,0.200,12.65
1746941537.949552,1746941538.001839,Stop,1746941538.001839,1746941538.201839,0.05229,0.200,12.87
1746941538.027608,1746941538.079898,Stop,1746941538.079898,1746941538.279898,0.05229,0.200,12.98
1746941538.104760,1746941538.155242,Stop,1746941538.155242,1746941538.355242,0.05048,0.200,12.92
1746941538.182797,1746941538.233764,Stop,1746941538.233764,1746941538.433764,0.05097,0.200,12.80
1746941538.260558,1746941538.310642,Stop,1746941538.311652,1746941538.511652,0.05008,0.201,12.88
1746941538.337044,1746941538.385809,Stop,1746941538.385809,1746941538.585809,0.04877,0.200,13.04
1746941538.413806,1746941538.467591,Stop,1746941538.467591,1746941538.667591,0.05378,0.200,13.04
1746941538.491600,1746941538.542816,Stop,1746941538.542816,1746941538.742816,0.05122,0.200,12.76
1746941538.568572,1746941538.620592,Stop,1746941538.620592,1746941538.820592,0.05202,0.200,13.09
1746941538.647171,1746941538.698188,Kanan,1746941538.698188,1746941538.898188,0.05102,0.200,12.89
1746941538.722737,1746941538.773720,Kanan,1746941538.773720,1746941538.973720,0.05098,0.200,13.07
1746941538.799335,1746941538.849641,Kanan,1746941538.849641,1746941539.049641,0.05031,0.200,13.05
1746941538.875621,1746941538.924955,Kanan,1746941538.925983,1746941539.125983,0.04933,0.201,13.01
1746941538.952678,1746941539.002263,Kanan,1746941539.003276,1746941539.203276,0.04959,0.201,12.99
1746941539.030137,1746941539.081026,Kanan,1746941539.081026,1746941539.281026,0.05089,0.200,12.83
1746941539.108420,1746941539.160732,Kanan,1746941539.160732,1746941539.360732,0.05231,0.200,12.99
1746941539.183640,1746941539.234092,Kanan,1746941539.234092,1746941539.434092,0.05045,0.200,13.23
1746941539.262046,1746941539.315145,Kanan,1746941539.315145,1746941539.515145,0.05310,0.200,12.74
1746941539.338648,1746941539.391205,Kanan,1746941539.391205,1746941539.591205,0.05256,0.200,13.06
1746941539.415566,1746941539.467059,Kanan,1746941539.467059,1746941539.667059,0.05149,0.200,12.87
1746941539.493755,1746941539.544596,Kanan,1746941539.544596,1746941539.744596,0.05084,0.200,12.95
1746941539.570732,1746941539.620684,Stop,1746941539.620684,1746941539.820684,0.04995,0.200,13.03
1746941539.648322,1746941539.703539,Stop,1746941539.703539,1746941539.903539,0.05522,0.200,12.85
1746941539.725013,1746941539.777119,Stop,1746941539.777119,1746941539.977119,0.05211,0.200,13.01
1746941539.802736,1746941539.853976,Stop,1746941539.853976,1746941540.053976,0.05124,0.200,12.88
1746941539.879269,1746941539.930302,Stop,1746941539.930302,1746941540.130302,0.05103,0.200,12.96
1746941539.956242,1746941540.006620,Stop,1746941540.006620,1746941540.206620,0.05038,0.200,13.10
1746941540.033642,1746941540.083742,Stop,1746941540.083742,1746941540.283742,0.05010,0.200,13.00
1746941540.111640,1746941540.161401,Stop,1746941540.161401,1746941540.361401,0.04976,0.200,12.76
1746941540.189605,1746941540.240368,Stop,1746941540.240368,1746941540.440368,0.05076,0.200,12.87
1746941540.264812,1746941540.318240,Stop,1746941540.318240,1746941540.518240,0.05343,0.200,13.21
1746941540.341881,1746941540.393394,Stop,1746941540.393394,1746941540.593394,0.05151,0.200,12.98
1746941540.418513,1746941540.471941,Stop,1746941540.471941,1746941540.671942,0.05343,0.200,12.97
1746941540.494331,1746941540.545866,Stop,1746941540.545866,1746941540.745867,0.05154,0.200,13.09
1746941540.572912,1746941540.622288,Stop,1746941540.622288,1746941540.822288,0.04938,0.200,12.82
1746941540.651495,1746941540.704207,Stop,1746941540.704207,1746941540.904207,0.05271,0.200,12.87
1746941540.728365,1746941540.779707,Stop,1746941540.779707,1746941540.979707,0.05134,0.200,12.88
1746941540.806264,1746941540.856720,Stop,1746941540.856720,1746941541.056720,0.05046,0.200,12.90
1746941540.882726,1746941540.933545,Stop,1746941540.933545,1746941541.133545,0.05082,0.200,12.98
1746941540.961097,1746941541.010885,Stop,1746941541.010885,1746941541.210886,0.04979,0.200,12.86
1746941541.038182,1746941541.088310,Stop,1746941541.088310,1746941541.288310,0.05013,0.200,13.00
1746941541.113824,1746941541.164014,Stop,1746941541.164014,1746941541.364014,0.05019,0.200,13.01
1746941541.191620,1746941541.245145,Kiri,1746941541.245145,1746941541.445145,0.05352,0.200,13.04
1746941541.268609,1746941541.320821,Kiri,1746941541.320821,1746941541.520821,0.05221,0.200,12.97
1746941541.344491,1746941541.396424,Kiri,1746941541.396424,1746941541.596424,0.05193,0.200,13.04
1746941541.422059,1746941541.473053,Kiri,1746941541.473053,1746941541.673053,0.05099,0.200,13.04
1746941541.498609,1746941541.548293,Kiri,1746941541.548293,1746941541.748293,0.04968,0.200,13.05
1746941541.575072,1746941541.627180,Kiri,1746941541.627180,1746941541.827180,0.05211,0.200,12.91
1746941541.652764,1746941541.703406,Kiri,1746941541.703406,1746941541.903406,0.05064,0.200,13.03
1746941541.728425,1746941541.780674,Kiri,1746941541.780674,1746941541.980674,0.05225,0.200,13.04
1746941541.806987,1746941541.858670,Kiri,1746941541.858670,1746941542.058671,0.05168,0.200,12.84
1746941541.882706,1746941541.933033,Kiri,1746941541.934046,1746941542.134046,0.05033,0.201,13.11
1746941541.961709,1746941542.012173,Stop,1746941542.012173,1746941542.212173,0.05046,0.200,12.80
1746941542.039273,1746941542.089708,Stop,1746941542.089708,1746941542.289708,0.05044,0.200,12.90
1746941542.115260,1746941542.167591,Stop,1746941542.167591,1746941542.367591,0.05233,0.200,13.14
1746941542.190495,1746941542.241185,Stop,1746941542.241185,1746941542.441185,0.05069,0.200,13.21
1746941542.267397,1746941542.319046,Stop,1746941542.319046,1746941542.519047,0.05165,0.200,13.00
1746941542.346653,1746941542.398581,Stop,1746941542.398581,1746941542.598581,0.05193,0.200,12.72
1746941542.422043,1746941542.472231,Stop,1746941542.472231,1746941542.672231,0.05019,0.200,13.09
1746941542.500309,1746941542.551089,Stop,1746941542.551089,1746941542.751089,0.05078,0.200,12.95
1746941542.577839,1746941542.629577,Stop,1746941542.629577,1746941542.830590,0.05174,0.201,12.90
1746941542.654561,1746941542.705013,Stop,1746941542.705013,1746941542.905013,0.05045,0.200,12.90
1746941542.731884,1746941542.782782,Stop,1746941542.782782,1746941542.982782,0.05090,0.200,12.95
1746941542.808826,1746941542.862871,Stop,1746941542.862871,1746941543.062871,0.05405,0.200,13.12
1746941542.885532,1746941542.936872,Stop,1746941542.936872,1746941543.136872,0.05134,0.200,12.87
1746941542.962424,1746941543.013583,Stop,1746941543.013583,1746941543.213583,0.05116,0.200,13.15
1746941543.039409,1746941543.092347,Stop,1746941543.092347,1746941543.292347,0.05294,0.200,12.97
1746941543.116046,1746941543.168059,Stop,1746941543.168059,1746941543.368059,0.05201,0.200,12.94
1746941543.192745,1746941543.244283,Stop,1746941543.244283,1746941543.444283,0.05154,0.200,13.12
1746941543.269831,1746941543.319643,Mundur,1746941543.319643,1746941543.519644,0.04981,0.200,12.88
1746941543.345754,1746941543.398916,Mundur,1746941543.398916,1746941543.598916,0.05316,0.200,13.18
1746941543.423824,1746941543.473473,Mundur,1746941543.474486,1746941543.674486,0.04965,0.201,12.96
1746941543.501595,1746941543.552599,Mundur,1746941543.553616,1746941543.753616,0.05100,0.201,12.79
1746941543.579586,1746941543.631148,Mundur,1746941543.631148,1746941543.831148,0.05156,0.200,12.89
1746941543.657251,1746941543.709714,Mundur,1746941543.709714,1746941543.909714,0.05246,0.200,12.94
1746941543.733779,1746941543.783734,Mundur,1746941543.783734,1746941543.983734,0.04996,0.200,13.10
1746941543.809657,1746941543.861192,Mundur,1746941543.861192,1746941544.061192,0.05153,0.200,12.98
1746941543.887509,1746941543.938172,Mundur,1746941543.938172,1746941544.138172,0.05066,0.200,13.03
1746941543.962775,1746941544.014655,Mundur,1746941544.014655,1746941544.214655,0.05188,0.200,13.10
1746941544.041785,1746941544.093679,Maju,1746941544.094689,1746941544.294689,0.05189,0.201,12.78
1746941544.118621,1746941544.171412,Maju,1746941544.171412,1746941544.371413,0.05279,0.200,12.87
1746941544.194934,1746941544.244900,Maju,1746941544.244900,1746941544.445926,0.04997,0.201,13.04
1746941544.273484,1746941544.323855,Stop,1746941544.323855,1746941544.523855,0.05037,0.200,12.93
1746941544.349294,1746941544.400327,Stop,1746941544.401341,1746941544.601341,0.05103,0.201,12.97
1746941544.426453,1746941544.477038,Stop,1746941544.477038,1746941544.677038,0.05059,0.200,13.21
1746941544.502709,1746941544.554778,Stop,1746941544.555810,1746941544.755810,0.05207,0.201,12.88
1746941544.581298,1746941544.631655,Stop,1746941544.632668,1746941544.832668,0.05036,0.201,12.90
1746941544.657287,1746941544.711361,Stop,1746941544.711361,1746941544.911361,0.05407,0.200,12.98
1746941544.735815,1746941544.785708,Stop,1746941544.785708,1746941544.985708,0.04989,0.200,12.90
1746941544.811511,1746941544.860799,Stop,1746941544.861809,1746941545.061810,0.04929,0.201,13.04
1746941544.889666,1746941544.946473,Stop,1746941544.946473,1746941545.146473,0.05681,0.200,12.96
1746941544.981601,1746941545.030745,Stop,1746941545.030745,1746941545.230745,0.04914,0.200,10.80
1746941545.059766,1746941545.111714,Stop,1746941545.111714,1746941545.311714,0.05195,0.200,12.89
1746941545.136127,1746941545.186503,Stop,1746941545.186503,1746941545.386503,0.05038,0.200,13.09
1746941545.213223,1746941545.264558,Stop,1746941545.264558,1746941545.464558,0.05133,0.200,12.97
1746941545.289325,1746941545.342824,Stop,1746941545.342824,1746941545.542824,0.05350,0.200,13.02
1746941545.366742,1746941545.416090,Stop,1746941545.416090,1746941545.616090,0.04935,0.200,13.04
1746941545.443879,1746941545.492985,Stop,1746941545.494003,1746941545.694003,0.04911,0.201,12.80
1746941545.520584,1746941545.571011,Stop,1746941545.571011,1746941545.771011,0.05043,0.200,13.04
1746941545.598701,1746941545.649527,Stop,1746941545.649527,1746941545.849527,0.05083,0.200,12.98
1746941545.674833,1746941545.727219,Stop,1746941545.727219,1746941545.927219,0.05239,0.200,13.14
1746941545.750695,1746941545.802464,Stop,1746941545.802464,1746941546.002464,0.05177,0.200,13.00
1746941545.828622,1746941545.880310,Stop,1746941545.880310,1746941546.080310,0.05169,0.200,12.92
1746941545.904789,1746941545.956772,Stop,1746941545.956772,1746941546.156772,0.05198,0.200,13.21
1746941545.983020,1746941546.033928,Stop,1746941546.033928,1746941546.233928,0.05091,0.200,12.99
1746941546.057609,1746941546.108202,Stop,1746941546.108202,1746941546.308202,0.05059,0.200,13.19
1746941546.135851,1746941546.185662,Stop,1746941546.185662,1746941546.385662,0.04981,0.200,12.78
1746941546.213017,1746941546.264491,Stop,1746941546.264491,1746941546.464491,0.05147,0.200,13.10
1746941546.289666,1746941546.341227,Stop,1746941546.341227,1746941546.541227,0.05156,0.200,12.86
